Go annotations summary - Sheet1
Organism (Full Name),GO Term,Codon Count
Escherichia coli K-12,GO:0016020,1203
Escherichia coli K-12,GO:0005886,1047
Escherichia coli K-12,GO:0005829,948
Escherichia coli K-12,GO:0005515,930
Escherichia coli K-12,GO:0005737,922
Escherichia coli K-12,GO:0046872,693
Escherichia coli K-12,GO:0016740,553
Escherichia coli K-12,GO:0000166,516
Escherichia coli K-12,GO:0016787,462
Escherichia coli K-12,GO:0005524,431
Escherichia coli K-12,GO:0042802,428
Escherichia coli K-12,GO:0003677,406
Escherichia coli K-12,GO:0055085,363
Escherichia coli K-12,GO:0016491,347
Escherichia coli K-12,GO:0003824,318
Escherichia coli K-12,GO:0006355,282
Escherichia coli K-12,GO:0006974,214
Escherichia coli K-12,GO:0022857,211
Escherichia coli K-12,GO:0030288,189
Escherichia coli K-12,GO:0000287,188
Bacillus subtilis 168,GO:0016020,776
Bacillus subtilis 168,GO:0005886,761
Bacillus subtilis 168,GO:0005737,630
Bacillus subtilis 168,GO:0046872,496
Bacillus subtilis 168,GO:0016740,479
Bacillus subtilis 168,GO:0016787,443
Bacillus subtilis 168,GO:0000166,414
Bacillus subtilis 168,GO:0005524,366
Bacillus subtilis 168,GO:0003677,315
Bacillus subtilis 168,GO:0016491,298
Bacillus subtilis 168,GO:0055085,260
Bacillus subtilis 168,GO:0005829,249
Bacillus subtilis 168,GO:0005515,247
Bacillus subtilis 168,GO:0003824,234
Bacillus subtilis 168,GO:0030435,227
Bacillus subtilis 168,GO:0006355,200
Bacillus subtilis 168,GO:0022857,154
Bacillus subtilis 168,GO:0003700,129
Bacillus subtilis 168,GO:0016310,120
Salmonella enterica LT2,GO:0016020,1141
Salmonella enterica LT2,GO:0005886,987
Salmonella enterica LT2,GO:0005737,906
Salmonella enterica LT2,GO:0005829,850
Salmonella enterica LT2,GO:0005515,789
Salmonella enterica LT2,GO:0046872,678
Salmonella enterica LT2,GO:0016740,546
Salmonella enterica LT2,GO:0000166,518
Salmonella enterica LT2,GO:0005524,434
Salmonella enterica LT2,GO:0016787,430
Salmonella enterica LT2,GO:0003677,396
Salmonella enterica LT2,GO:0055085,356
Salmonella enterica LT2,GO:0042802,346
Salmonella enterica LT2,GO:0016491,331
Salmonella enterica LT2,GO:0003824,320
Salmonella enterica LT2,GO:0006355,267
Salmonella enterica LT2,GO:0022857,202
Salmonella enterica LT2,GO:0016829,188
Salmonella enterica LT2,GO:0003700,184
Salmonella enterica LT2,GO:0006974,179
Pseudomonas putida KT2440,GO:0016020,880
Pseudomonas putida KT2440,GO:0005737,794
Pseudomonas putida KT2440,GO:0005886,778
Pseudomonas putida KT2440,GO:0005829,565
Pseudomonas putida KT2440,GO:0046872,552
Pseudomonas putida KT2440,GO:0000166,488
Pseudomonas putida KT2440,GO:0016491,466
Pseudomonas putida KT2440,GO:0016740,445
Pseudomonas putida KT2440,GO:0005515,418
Pseudomonas putida KT2440,GO:0005524,408
Pseudomonas putida KT2440,GO:0003677,397
Pseudomonas putida KT2440,GO:0016787,367
Pseudomonas putida KT2440,GO:0055085,354
Pseudomonas putida KT2440,GO:0006355,305
Pseudomonas putida KT2440,GO:0003824,285
Pseudomonas putida KT2440,GO:0003700,211
Pseudomonas putida KT2440,GO:0022857,195
Pseudomonas putida KT2440,GO:0042802,186
Pseudomonas putida KT2440,GO:0016829,157
Pseudomonas putida KT2440,GO:0006811,153
Halobacterium salinarum NRC-1,GO:0046872,195
Halobacterium salinarum NRC-1,GO:0005737,194
Halobacterium salinarum NRC-1,GO:0000166,168
Halobacterium salinarum NRC-1,GO:0005524,143
Halobacterium salinarum NRC-1,GO:0005886,140
Halobacterium salinarum NRC-1,GO:0016740,136
Halobacterium salinarum NRC-1,GO:0016020,122
Halobacterium salinarum NRC-1,GO:0016491,117
Halobacterium salinarum NRC-1,GO:0003824,104
Halobacterium salinarum NRC-1,GO:0016787,98
Halobacterium salinarum NRC-1,GO:0005829,93
Halobacterium salinarum NRC-1,GO:0016829,66
Halobacterium salinarum NRC-1,GO:0005515,60
Halobacterium salinarum NRC-1,GO:0016874,54
Halobacterium salinarum NRC-1,GO:0000287,52
Halobacterium salinarum NRC-1,GO:0008652,49
Halobacterium salinarum NRC-1,GO:0055085,46
Halobacterium salinarum NRC-1,GO:0016853,37
Halobacterium salinarum NRC-1,GO:0006811,32
Halobacterium salinarum NRC-1,GO:0003677,32
Saccharomyces cerevisiae S288C,GO:0005737,233
Saccharomyces cerevisiae S288C,GO:0046872,185
Saccharomyces cerevisiae S288C,GO:0000166,175
Saccharomyces cerevisiae S288C,GO:0005524,149
Saccharomyces cerevisiae S288C,GO:0016491,136
Saccharomyces cerevisiae S288C,GO:0016740,133
Saccharomyces cerevisiae S288C,GO:0005829,132
Saccharomyces cerevisiae S288C,GO:0003824,114
Saccharomyces cerevisiae S288C,GO:0005886,97
Saccharomyces cerevisiae S288C,GO:0016787,91
Saccharomyces cerevisiae S288C,GO:0016020,88
Saccharomyces cerevisiae S288C,GO:0008652,62
Saccharomyces cerevisiae S288C,GO:0005515,61
Saccharomyces cerevisiae S288C,GO:0016829,57
Saccharomyces cerevisiae S288C,GO:0042802,54
Saccharomyces cerevisiae S288C,GO:0006412,53
Saccharomyces cerevisiae S288C,GO:0016874,52
Saccharomyces cerevisiae S288C,GO:0000287,51
Saccharomyces cerevisiae S288C,GO:0008270,46
Saccharomyces cerevisiae S288C,GO:0055085,45
